tweet_id,user,tweet,date
36,@user36,Terrible service today. Really disappointed. #fail,2023-02-05
37,@user37,Why is everything so expensive these days? #inflation,2023-02-06
38,@user38,Feeling under the weather today. 😷 #sick,2023-02-07
39,@user39,Can't wait for the weekend! #excited,2023-02-08
40,@user40,Why is everything so expensive these days? #inflation,2023-02-09
41,@user41,Politics is a mess right now. #news,2023-02-10
42,@user42,Had the best coffee this morning ☕ #blessed,2023-02-11
43,@user43,Can't wait for the weekend! #excited,2023-02-12
44,@user44,Feeling under the weather today. 😷 #sick,2023-02-13
45,@user45,Had the best coffee this morning ☕ #blessed,2023-02-14
46,@user46,This product exceeded my expectations. #happycustomer,2023-02-15
47,@user47,Feeling under the weather today. 😷 #sick,2023-02-16
48,@user48,Not sure how I feel about this movie. Mixed emotions. #review,2023-02-17
49,@user49,Not sure how I feel about this movie. Mixed emotions. #review,2023-02-18
50,@user50,Had the best coffee this morning ☕ #blessed,2023-02-19
51,@user51,Had the best coffee this morning ☕ #blessed,2023-02-20
52,@user52,Feeling under the weather today. 😷 #sick,2023-02-21
53,@user53,The weather is just perfect for a walk. #sunnyday,2023-02-22
54,@user54,Not sure how I feel about this movie. Mixed emotions. #review,2023-02-23
55,@user55,Politics is a mess right now. #news,2023-02-24
56,@user56,This product exceeded my expectations. #happycustomer,2023-02-25
57,@user57,The weather is just perfect for a walk. #sunnyday,2023-02-26
58,@user58,The weather is just perfect for a walk. #sunnyday,2023-02-27
59,@user59,Politics is a mess right now. #news,2023-02-28
60,@user60,Feeling under the weather today. 😷 #sick,2023-03-01
61,@user61,Why is everything so expensive these days? #inflation,2023-03-02
62,@user62,Feeling under the weather today. 😷 #sick,2023-03-03
63,@user63,Politics is a mess right now. #news,2023-03-04
64,@user64,Can't wait for the weekend! #excited,2023-03-05
65,@user65,Can't wait for the weekend! #excited,2023-03-06
66,@user66,Feeling under the weather today. 😷 #sick,2023-03-07
67,@user67,Can't wait for the weekend! #excited,2023-03-08
68,@user68,Had the best coffee this morning ☕ #blessed,2023-03-09
69,@user69,I love the new features in this update! #awesome,2023-03-10
70,@user70,I love the new features in this update! #awesome,2023-03-11
71,@user71,The weather is just perfect for a walk. #sunnyday,2023-03-12
72,@user72,I love the new features in this update! #awesome,2023-03-13
73,@user73,This product exceeded my expectations. #happycustomer,2023-03-14
74,@user74,Not sure how I feel about this movie. Mixed emotions. #review,2023-03-15
75,@user75,Can't wait for the weekend! #excited,2023-03-16
76,@user76,This product exceeded my expectations. #happycustomer,2023-03-17
77,@user77,Politics is a mess right now. #news,2023-03-18
78,@user78,This product exceeded my expectations. #happycustomer,2023-03-19
79,@user79,Not sure how I feel about this movie. Mixed emotions. #review,2023-03-20
80,@user80,Can't wait for the weekend! #excited,2023-03-21
81,@user81,Not sure how I feel about this movie. Mixed emotions. #review,2023-03-22
82,@user82,Not sure how I feel about this movie. Mixed emotions. #review,2023-03-23
83,@user83,Feeling under the weather today. 😷 #sick,2023-03-24
84,@user84,I love the new features in this update! #awesome,2023-03-25
85,@user85,The weather is just perfect for a walk. #sunnyday,2023-03-26
86,@user86,Why is everything so expensive these days? #inflation,2023-03-27
87,@user87,Can't wait for the weekend! #excited,2023-03-28
88,@user88,The weather is just perfect for a walk. #sunnyday,2023-03-29
89,@user89,Why is everything so expensive these days? #inflation,2023-03-30
90,@user90,The weather is just perfect for a walk. #sunnyday,2023-03-31
91,@user91,Not sure how I feel about this movie. Mixed emotions. #review,2023-04-01
92,@user92,I love the new features in this update! #awesome,2023-04-02
93,@user93,This product exceeded my expectations. #happycustomer,2023-04-03
94,@user94,Politics is a mess right now. #news,2023-04-04
95,@user95,Why is everything so expensive these days? #inflation,2023-04-05
96,@user96,Had the best coffee this morning ☕ #blessed,2023-04-06
97,@user97,Can't wait for the weekend! #excited,2023-04-07
98,@user98,Can't wait for the weekend! #excited,2023-04-08
99,@user99,This product exceeded my expectations. #happycustomer,2023-04-09
100,@user100,Can't wait for the weekend! #excited,2023-04-10
